"id","question","gold_answer","gold_pages","rag_answer","rag_pages","rag_evidence_preview","llm_answer","rag_correct","llm_correct","rag_page_hit","rag_evidence_hit","rag_faithful","llm_hallucination","winner","comment"
"260","报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？","报告期内，公司来自军用领域的收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元。","128|129","报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入（间接向国防客户销售额）分别为：6,464.51万元、14,414.16万元、18,780.67万元和4,627.14万元。
引用页码：40","38|39|282|36"," ""| | 武汉兴图新科电子股份有限公司 | | | | | | 招股意向书 | |\n| --- | --- | --- | --- | --- | --- | --- | --- | --- |\n| | | （七）民用市场拓展风险 | | | | | | |\n| | | 报告期内，公司产品主要应用于国防指挥信息系统，以及监狱、油田等少量 | | | | | |"",""| | 武汉兴图新科电子股份有限公司 | | | | | 招股意向书 | |\n| --- | --- | --- | --- | --- | --- | --- | --- |\n| | 间接向国防客户的销售额合计分别为 6,464.51 万元、14,414.16 万元、18,780.67 | | | | | | |\n| | 万元和 4,627.14 万元，占"",""| 武汉兴图新科电子股份有限公司 | | 招股意向书 |\n| --- | --- | --- |\n| 72.20 \n计入当期损益的政府补助 | 31.07 | 132.38% |\n| 除上述之外的其他营业外收 | | |\n| | -0.82 | |\n| -2.11 | | - |\n| 入和支出净额 | | |\n| 6.22 \n企业所得税影响数 | 4.40 "",""| | 武汉兴图新科电子股份有限公司 | | | | | | 招股意向书 | |\n| --- | --- | --- | --- | --- | --- | --- | --- | --- |\n| | | 经测算，来自其他行业订单和收入不发生变化的情况下 ，发行人直接和间 | | | | | | |\n| | 接来自军方市场的收入每增加或减少 1%，发行人营业"", ""| | 武汉兴图新科电子股份有限公司 | | | | | | 招股意向书 | |\n| --- | --- | --- | --- | --- | --- | --- | --- | --- |\n| | 接来自军方市场的收入每增加或减少 1%，发行人营业利润变动的情况如下表： | | | | | | | |\n| | | | | | | | 单位：万元 | |\n"",
    ""corpus"": ""default""","根据武汉兴图新科电子股份有限公司（股票代码：688081）公开披露的财务报告，其收入主要来源于军用领域。以最近一期完整的年度报告（2023年年报）为例，报告期内（2023年1月1日至2023年12月31日），公司来自军用领域的收入为 **1.08亿元**（具体数字可能因四舍五入略有差异，精确数据请以公司发布的《2023年年度报告》为准）。

若您需要查询更早的报告期（如2022年、2021年等）或最新季度（如2024年一季度、半年度）的数据，建议直接查阅公司在上交所官网披露的对应定期报告。如果您有具体报告期需求，我可以进一步协助查找。","1","0","0","1","1","1","RAG","RAG 数值回答正确，证据命中充分；仅引用页码与 gold_page 不一致，按弱页码口径不影响主判定。"
"95","武汉兴图新科电子股份有限公司参与制定了哪个技术标准？","武汉兴图新科电子股份有限公司参与制定了全军第一个视频指挥系统技术标准——《某视频技术规范 1.0》。","181","武汉兴图新科电子股份有限公司参与制定了《某视频技术规范1.0》。引用页码：27","26|390|218|220|349","""字段：技术标准\n值：《某视频技术规范1.0》\n证据：参与制定了全军第一个视频指挥系统技术标准（即《某视频技术规范1.0》）\n页码：27"",""| 武汉兴图新科电子股份有限公司 | | | | 招股意向书 |\n| --- | --- | --- | --- | --- |\n| 项目名称 | 2019 年 1-6 月 | 2018 年度 | 2017 年度 | 2016 年度 |\n| 视频值班系统 | 48.81 | 241.63 | - | - |\n| 软编录播系统 | 50.40 | 279.90"",""| | 武汉兴图新科电子股份有限公司 | | | | | 招股意向书 | |\n| --- | --- | --- | --- | --- | --- | --- | --- |\n| | 权利 | | | | 首次发表 | | 取得 |\n| 序 号 | | 软件名称 | 证书号 | 登记号 | | 登记日期 | |\n| | 人 | | | | 日期 | | 方"",""| | 武汉兴图新科电子股份有限公司 | | | | | 招股意向书 | |\n| --- | --- | --- | --- | --- | --- | --- | --- |\n| | 兴图 | 综合管理服务软 | 软著登字第 | | | | 原始 |\n| 29 | | | | 2017SR386011 | 2015.01.10 | 2017.07.20 |"",""乙方需负责配合 | | |\n| 科技有限公司 | 单 | | | | 服务 | 付款 |\n| | | | 定地点 | 提供验收所需的一切资料 | | |\n| | | | | 按照合同、技术协议编写 | 因产品质量问题对整个系 | |\n| | | | | | | 货到验收合格后，甲方付 |\n| | 军检报告、产 | | | 验收细则，按照验收细则 | 统性能造""","武汉兴图新科电子股份有限公司参与制定了国家标准 **《GB/T 28181-2016 公共安全视频监控联网系统信息传输、交换、控制技术要求》**。该标准是中国公共安全视频监控领域的重要技术规范，主要用于规范视频监控系统的互联互通和资源共享。","1","0","0","1","1","1","RAG","RAG 准确给出《某视频技术规范1.0》，证据直接支撑；纯 LLM 改答为其他国家标准。"
"33","报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？","报告期内，公司来自军用领域的收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元，占主营业务收入比重分别为 82.10%、97.31%、94.84%和 94.34%。 ","128|129","报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入（间接向国防客户销售额）占主营业务收入的比重分别为：82.10%、97.31%、94.84%和94.34%。
引用页码：40","39|39|181|282|4","""| | 武汉兴图新科电子股份有限公司 | | | | | | 招股意向书 | |\n| --- | --- | --- | --- | --- | --- | --- | --- | --- |\n| | | （七）民用市场拓展风险 | | | | | | |\n| | | 报告期内，公司产品主要应用于国防指挥信息系统，以及监狱、油田等少量 | | | | | |"",""| | 武汉兴图新科电子股份有限公司 | | | | | 招股意向书 | |\n| --- | --- | --- | --- | --- | --- | --- | --- |\n| | 间接向国防客户的销售额合计分别为 6,464.51 万元、14,414.16 万元、18,780.67 | | | | | | |\n| | 万元和 4,627.14 万元，占"",""中自产部分业绩贡献情况如下表所示：\n单位：万元\n项目\n2019 年1-6 月\n2018 年度\n2017 年度\n2016 年度\n金额\n占比\n金额\n占比\n金额\n占比\n金额\n占比\n视频指挥控\n制类（自产部\n分）\n4,431.85\n90.36%\n17,777.59\n89.78%\n11,451.79\n77.31%\n5,504.30\n69.90%\n视频预警控\n制类（自产"", ""| 武汉兴图新科电子股份有限公司 | | 招股意向书 |\n| --- | --- | --- |\n| 72.20 \n计入当期损益的政府补助 | 31.07 | 132.38% |\n| 除上述之外的其他营业外收 | | |\n| | -0.82 | |\n| -2.11 | | - |\n| 入和支出净额 | | |\n| 6.22 \n企业所得税影响数 | 4.40 "", ""| | 武汉兴图新科电子股份有限公司 | | | | | | 招股意向书 | |\n| --- | --- | --- | --- | --- | --- | --- | --- | --- |\n| | | 经测算，来自其他行业订单和收入不发生变化的情况下 ，发行人直接和间 | | | | | | |\n| | 接来自军方市场的收入每增加或减少 1%，发行人营业"",","根据武汉兴图新科电子股份有限公司（股票代码：688081）公开披露的财务报告，其主营业务收入**100%来自军用领域**。该公司专注于军队视频指挥、视频侦察等军工信息化产品的研发、生产和销售，客户均为军队、国防科研院所及相关军工集团，不存在民用领域的收入。因此，在报告期内（如2021-2023年及2024年上半年），军用领域收入占主营业务收入的比重始终为**100%**。","1","0","0","1","1","1","RAG","RAG 四个占比数值完整且正确；页码字段偏移，但证据片段已命中正确内容。"
"34","根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些行业？","根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及以下企业：
电子元器件制造企业（与信息系统相关）、金属壳体制造企业（主要包括机箱、机柜等）。","151","根据招股说明书，电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、机柜等金属壳体制造企业。引用页码：152","151|64|208|214|62","""兴图新科已经取得\n经营所需完备的准入资质。而获得上述资质需经过一套严格的审查程序。企业需\n同时拥有多种相关资质条件才能进行武器科研生产活动，其他潜在的市场进入者\n获得进入行业的全部资质条件面临较长的审批时间和巨大的难度。（四）行业竞争格局\n1、行业上下游情况\n电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、\n机柜等金属壳体制造企业，竞争充分"",""| 武汉兴图新科电子股份有限公司 \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n 招股意向书 |\n| --- |\n| 91110106596056397W \n统一社会信用代码 |\n| 技术开发、技"", ""| 武汉兴图新科电子股份有限公司 | | | 招股意向书 |\n| --- | --- | --- | --- |\n| 泰豪软件股份有限公 | 计 算 机 设 备 及 部 | | |\n| 3 | | 258.97 | 7.15% |\n| 司 | 件、显示设备等 | | |\n| 武汉楚石科技有限责 | | | |\n| 4 | 板卡类等 | 136.57 | 3."",""| | 武汉兴图新科电子股份有限公司 | | | | 招股意向书 |\n| --- | --- | --- | --- | --- | --- |\n| | 武汉 | | | | |\n| 8 | | 21760207 | 第 9 类 | 2017.12.14.-2027.12.13.| 原始取得 |\n| | 启目 | | | | |\n| | 武汉 | | | |"",""| 武汉兴图新科电子股份有限公司 \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n 招股意向书 |\n| --- |\n| 公司类型 \n有限责任公司 |\n| 注册地及主要生产经 |\n| 武汉市东湖新技术""","根据武汉兴图新科电子股份有限公司的招股意向书（通常会在“业务与技术”或“行业概况”章节中描述），其所属的电子信息行业（特别是公司所处的视频指挥、视频监控及系统集成领域）的上游行业主要包括以下几类：

1.  **电子元器件行业**：这是最基础的上游，包括各类**芯片**（如编解码芯片、AI芯片、FPGA、DSP、CPU等）、**电阻、电容、电感**等被动元件，以及**连接器、接插件**等。
2.  **集成电路与半导体行业**：专门提供核心处理单元和存储单元，如**处理器、存储器（DRAM、NAND Flash）、逻辑芯片**等。
3.  **光电与光学器件行业**：涉及**摄像头模组、光学镜头、红外探测器**、激光器、图像传感器（CMOS/CCD）等，这是视频采集的核心部件。
4.  **显示器件行业**：包括**LCD/LED显示屏、液晶面板**等，用于视频输出和指挥中心大屏显示。
5.  **印制电路板（PCB）行业**：提供承载电子元器件的电路板，是所有硬件设备的基础载体。
6.  **结构件与配套材料行业**：包括**机箱、外壳、散热器、线缆、电源模块**等，以及用于组装和防护的金属、塑料、橡胶等材料。
7.  **软件与算法行业**：虽然通常不被列为“上游行业”，但招股书会提到**操作系统、数据库、中间件、视频编解码算法、AI算法库、图形图像处理软件**等，这些是系统功能实现的关键技术来源。

**特别说明**：由于招股意向书的具体内容会随公司业务细节（如是否自研核心芯片、是否外购关键模组）而变化，建议您直接查阅该招股书的**“第五节 业务与技术”**或**“第四节 风险因素”**（关于原材料供应风险部分），以获取最准确、最完整的上下游行业列表。如果您需要我根据公开信息进行更精确的查找，可以告诉我您关注的版本或章节。","1","0","1","1","1","1","RAG","RAG 与金标准一致，命中上游行业核心表述；纯 LLM 额外扩写了多项未在文档中直接给出的内容。"
"957","武汉兴图新科电子股份有限公司在哪个领域已经成为重要供应商？","兴图新科已经成为国防军队视频指挥领域的重要供应商。","153","武汉兴图新科电子股份有限公司在国防军队视频指挥领域（或军队视频指挥领域）已经成为重要供应商。
引用页码：26、27","59|25|26|454|378","""字段：重要供应商领域\n值：多家供应商\n证据：无\n页码：60"",""字段：公司行业地位\n值：国防军队视频指挥领域的重要供应商\n证据：兴图新科目前已经成为国防军队视频指挥领域的重要供应商\n页码：26"",""字段：重要供应商领域\n值：军队视频指挥领域\n证据：公司目前已经成为军队视频指挥领域的重要供应商\n页码：27"", ""82\n8.04%\n结构件类、计算机设备及\n部件等\n5\n山东神沃信息科技有限公司\n119.38\n5.59%\n计算机设备及部件等\n小计\n1,705.19\n79.80%\n-\n续表：\n单位：万元\n2016 年12 月31 日\n序号\n供应商名称\n应付账款余额\n占比\n采购内容"",""| 武汉兴图新科电子股份有限公司 | 招股意向书 |\n| --- | --- |\n| 项目不断增多，仅依靠军方自身或大型研究所在保证项目质量、按期交付的前提 | |\n| 下完成信息系统建设任务的难度大大增加，军方和总体单位加强了与集成单位合 | |\n| 作；第二，由于公司核心产品已成规模、成建制在军方广泛部署，并参与了军方 | |\n| 相关标准的制定和系统的""","武汉兴图新科电子股份有限公司在**国防军工领域**，特别是**军队视频指挥与控制系统**方面，已成为国内重要的供应商。该公司长期专注于音视频指挥系统的研发，其产品广泛应用于军队的作战指挥、训练演习、日常值班等场景，是军用视频指挥系统细分领域的骨干企业。","1","1","0","1","1","0","Tie","RAG 与纯 LLM 都答到了“国防军队视频指挥领域”的核心结论，RAG 证据更强但结论层面可判平局。"
"793","根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括哪些行业？","根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括：
军队、政府机关、能源等行业企业。","151","根据招股意向书，电子信息行业的下游主要包括军队、政府机关、能源等行业企业。引用页码：152","21|153|0|531|151","""兴图新科已经取得\n经营所需完备的准入资质。而获得上述资质需经过一套严格的审查程序。企业需\n同时拥有多种相关资质条件才能进行武器科研生产活动，其他潜在的市场进入者\n获得进入行业的全部资质条件面临较长的审批时间和巨大的难度。（四）行业竞争格局\n1、行业上下游情况\n电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、\n机柜等金属壳体制造企业，竞争充分"", ""| 武汉兴图新科电子股份有限公司 \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n 招股意向书 |\n| --- |\n| 91110106596056397W \n统一社会信用代码 |\n| 技术开发、技"",
    ""corpus"": ""default"",""| 武汉兴图新科电子股份有限公司 \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n 招股意向书 |\n| --- |\n| 公司类型 \n有限责任公司 |\n| 注册地及主要生产经 |\n| 武汉市东湖新技术"",""| 武汉兴图新科电子股份有限公司 | | | 招股意向书 |\n| --- | --- | --- | --- |\n| 泰豪软件股份有限公 | 计 算 机 设 备 及 部 | | |\n| 3 | | 258.97 | 7.15% |\n| 司 | 件、显示设备等 | | |\n| 武汉楚石科技有限责 | | | |\n| 4 | 板卡类等 | 136.57 | 3."",""| 武汉兴图新科电子股份有限公司 | | 招股意向书 |\n| --- | --- | --- |\n| | 综上所述，发行人收入确认呈现明显的季节性主要是受军队采购计划执行进 | |\n| 度的影响，符合行业特征，不会对发行人持续经营能力构成重大不利影响。| | |\n| 二、发行人所处行业基本情况 | | |\n| （一）行业监管体制与行业政策 | | |\n| 1""","根据武汉兴图新科电子股份有限公司的招股意向书，电子信息行业的下游主要包括**国防军工、公共安全、政府应急管理、能源、交通**等行业。其中，国防军工领域是公司产品（如音视频指挥系统）的核心应用方向。","1","0","1","1","1","1","RAG","RAG 准确覆盖军队、政府机关、能源等核心下游行业；纯 LLM 添加了未直接证实的行业范围。"
"795","武汉兴图新科电子股份有限公司参与的哪个工程荣获了国家科技进步一等奖？","武汉兴图新科电子股份有限公司参与的""某情报、指挥、控制与通信网络一体化工程""（相当于美军的 C4ISR 系统）荣获了国家科技进步一等奖。","95|181","武汉兴图新科电子股份有限公司参与的“某情报、指挥、控制与通信网络一体化工程”荣获国家科技进步一等奖。引用页码：181、182。","180|390|181|93|154","""公司目前已经成为军队视频指挥控制领域的重要供应商，参与制定了国防用\n户第一个视频指挥系统技术标准（即《某视频技术规范1.0》）。2014 年12 月，\n某大型研究所牵头承担的“某情报、指挥、控制与通信网络一体化工程”（即相当\n于美军的C4ISR 系统）荣获国家科技进步一等奖。该工程参与建设单位包括项\n目主管部门、总体单位、国有科研机构等，根据总体单位、军方用"",""| 武汉兴图新科电子股份有限公司 | | | | 招股意向书 |\n| --- | --- | --- | --- | --- |\n| 项目名称 | 2019 年 1-6 月 | 2018 年度 | 2017 年度 | 2016 年度 |\n| 视频值班系统 | 48.81 | 241.63 | - | - |\n| 软编录播系统 | 50.40 | 279.90"",""公司以图像处理与应用技术为起点，并不断创新发展，经过长期持续的研发\n投入，公司具备较为雄厚的技术积淀和应用能力。公司目前已经掌握了以音视频\n中间件技术为核心，以复杂环境网络适应技术、低延时编解码技术等为突破，在\n军方特殊环境和应用的适用性、指挥控制系统的高并发高可靠性、极端网络环境\n下视频传输质量、端对端传播的低延迟等方面具有突出优势。公司目前已经成为军队视"", ""一体化工程”（即相当于美军的C4ISR 系统）荣获国家科技进步一等奖。该工程\n参与建设单位包括项目主管部门、总体单位、国有科研机构等，根据总体单位、\n军方用户出具的证明文件和承研合同，民营企业兴图新科是该工程网络化视频指\n挥系统的唯一参与者，但未能列入获奖名单。随着公司产品和系统在军队大规模使用，已经在军队视音频通信领域形成了\n较强的竞争优势，虽然2016 "",
    ""corpus"": ""default"",""等产品在技术上已经达到了全军较为先进的水平，并逐步列装到全军各主要领域，\n军队市场占有率不断提高，形成了较好的品牌优势。具体表现在以下几个方面：\n1、公司的研发实力较强、核心技术优势明显\n公司目前已经成为军队视频指挥领域的重要供应商，参与制定了全军第一个\n视频指挥系统技术标准（即《某视频技术规范1.0》）。而且，2014年12月，某大\n型研究所牵头承担的“某"",","武汉兴图新科电子股份有限公司参与的**“某型指挥信息系统工程”** 荣获了国家科技进步一等奖。","1","0","1","1","1","1","RAG","RAG 工程名称正确且证据命中；纯 LLM 将工程名称改写成了不同表述。"
"543","武汉兴图新科电子股份有限公司注册资本是多少？","注册资本是5,520 万元。","51","武汉兴图新科电子股份有限公司注册资本为5,520万元。
引用页码：52","51|52|67|62","""字段：注册资本\n值：5,520 万元\n证据：注册资本：5,520 万元\n页码：52"",""字段：注册资本\n值：1,204.00万元\n证据：注册资本\n1,204.00 万元\n页码：68"",""字段：注册资本\n值：5,520万元\n证据：注册资本：5,520万元\n页码：52"",""字段：注册资本\n值：50万元\n证据：成立时注册资本50 万元。\n页码：53"",""字段：注册资本\n值：100万元\n证据：注册资本\n100万元\n页码：63""","根据公开信息，武汉兴图新科电子股份有限公司（股票代码：688081）的注册资本为 **10,300万元人民币**（即1.03亿元）。

请注意，公司的注册资本可能会因增发、回购、股权激励等事项发生变化。如需获取最新、最准确的数据，建议通过国家企业信用信息公示系统或公司官方公告进行核实。
","1","0","1","1","1","1","RAG","RAG 准确回答注册资本 5,520 万元，并命中结构化字段证据；纯 LLM 给出了错误数值。"
"531","武汉兴图新科电子股份有限公司法定代表人是谁？","公司法定代表人是程家明。","21","武汉兴图新科电子股份有限公司法定代表人是程家明。
引用页码：63、68","62|67|31|63|539","""字段：法定代表人\n值：程家明\n证据：法定代表人\n程家明\n页码：63"",""字段：法定代表人\n值：程家明\n证据：法定代表人\n程家明\n页码：68"", ""字段：法定代表人\n值：李玮\n证据：法定代表人：李玮\n页码：32"",""字段：法定代表人\n值：程家明\n证据：法定代表人\n程家明\n页码：64"", ""| 武汉兴图新科电子股份有限公司 | | | | 招股意向书 |\n| --- | --- | --- | --- | --- |\n| 三、保荐机构（主承销商）声明 | | | | |\n| | 本公司已对招股意向书进行了核查，确认不存在虚假记载、误导性陈述或重 | | | |\n| 大遗漏，并对其真实性、准确性、完整性承担相应的法律责任。 | | | | |\n|""","武汉兴图新科电子股份有限公司的法定代表人是**程家明**。","1","1","0","1","1","0","Tie","RAG 与纯 LLM 都答对了“程家明”；RAG 页码未命中 gold_page，但证据字段明确。"
"207","武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？","武汉兴图新科电子股份有限公司计划使用本次发行募集资金中的15,000.00万元用于补充流动资金。","478","根据招股说明书，武汉兴图新科电子股份有限公司计划使用本次发行募集资金15,000.00万元用于补充流动资金。引用页码：30。","29|276|59|489|483","""| 3 | 补充流动资金 | 15,000.00 | 15,000.00 |\n| --- | --- | --- | --- |\n| | 总计 | 40,584.83 | 40,584.83 |\n| | 以上项目所需募集资金投入合计40,584.83万元。若本次发行实际募集资金不 | | |\n| 能满足上述项目的资金需求，则项目的资金缺口部分由发行人以自有资"",""| 武汉兴图新科电子股份有限公司 | | | 招股意向书 | |\n| --- | --- | --- | --- | --- |\n| 项目 | 2019 年 1-6 月 | 2018 年度 | 2017 年度 | 2016 年度 |\n| 支付其他与筹资活动有关的现金 | - | - | 3,550,000.00 | 10,250,000.00 |\n| 筹资活"",""字段：募集资金用途\n值：用于研发和扩大生产\n证据：无\n页码：60"",""（三）补充流动资金项目\n1、项目概况\n为满足公司业务发展和新产品研发等对营运资金的需求，增强公司抗风险能\n力，公司在满足上述募集资金投资项目资金需求的同时，拟使用本次发行募集资\n金15,000 万元用于补充流动资金。2、补充流动资金的必要性\n（1）公司的业务模式和行业特征要求补充流动资金\n报告期内，公司主要向军方客户提供视频指挥控制、视频预警控制等视音频\n系"",""得直接或间接用于新股配售、申购，或用于投资股票及其衍生品种、可转换公司\n债券等。补充流动资金到期之前，上市公司应将该部分资金归还至募集资金账户，并\n在资金全部归还后2 个交易日内报告上交所并公告。第二十二条 公司用闲置募集资金补充流动资金事项，应披露以下内容：\n（一）本次募集资金的基本情况，包括募集资金的时间、金额及投资计划等；（二）募集资金使用情况；（三）""","根据武汉兴图新科电子股份有限公司（股票代码：688081）披露的《2023年度向特定对象发行A股股票募集说明书（注册稿）》，本次发行募集资金总额不超过 **25,000.00万元**（含本数），其中拟用于补充流动资金的金额为 **7,500.00万元**，占本次募集资金总额的 **30%**。

本次募集资金扣除发行费用后，将主要用于以下项目：

| 项目名称 | 拟投入募集资金（万元） |
|------|------|
| 特种视频及AI能力平台产业化项目 | 17,500.00 |
| 补充流动资金 | 7,500.00 |
| **合计** | **25,000.00** |

补充流动资金部分主要用于满足公司业务规模扩大带来的日常经营资金需求，优化财务结构，降低财务风险。上述信息来源于公司向上海证券交易所提交的官方文件，具体金额及用途以最终实际发行结果及公司后续公告为准。","1","0","0","1","1","1","RAG","RAG 正确抽取“补充流动资金 15,000.00 万元”，且证据来自募投表格；页码存在物理页与逻辑页偏移。"
