"id","question","gold_answer","gold_pages","rag_answer","rag_pages","rag_evidence_preview","llm_answer","rag_correct","llm_correct","rag_page_hit","rag_evidence_hit","rag_faithful","llm_hallucination","winner","comment"
"5","武汉力源信息技术股份有限公司组织结构图中， 销售部有几个部门构成，其中大客户销售部有几个销售处构成？",
"6","武汉力源信息技术股份有限公司招股意向书中，从 2008 年中国 IC 市场应用结构与增长图中可以看出， 增长率最快的是哪个行业？ 负增长的是哪个行业？",
"1","武汉力源信息技术股份有限公司本次发行股数是多少， 占发行后总股本的比例是多少？","发行股数及占发行后总股本比例:1,670 万股，占发行后总股本的比例为 25.04% ","22|24","本次发行股数为1,670万股，占发行后总股本的比例为25.04%。引用页码：24、22。","24|22|23|10|349","23 二、本次发行的基本情况 (一)发行基本情况 股票种类 人民币普通股(A 股) 每股面值 人民币1.00 元 发行股数及占发行后总股本比例 1,670 万股，占发行后总股本的比例为25.04% 每股发行价格 通过向询价对象询价或中...,| 股票种类 | 人民币普通股(A股) | | --- | --- | | 每股面值 | 人民币1.00元 | | 发行股数 | 1,670万股，占发行后总股本的比例为25.04% | | 每股发行价格 | 通过向询价对象询价确定，或...,22 第三节 本次发行概况 一、发行人的基本情况 1、公司名称：武汉力源信息技术股份有限公司 2、英文名称：Wuhan P&S Information Technology Co.,Ltd. 3、注册资本：人民币5,000 万元 4、...,本公司、公司、 发行人、力源信息 指 武汉力源信息技术股份有限公司 公司股东大会 指 武汉力源信息技术股份有限公司股东大会 公司董事会 指 武汉力源信息技术股份有限公司董事会 公司监事会 指 武汉力源信息技术股份有限公司监事会 本次发...,| 武汉力源信息技术股份有限公司 招股意向书 | | --- | | 六、验资机构声明 | | 本机构及签字注册会计师已阅读招股意向书，确认招股意向书与本机构出具 的验资报告无矛盾之处。本机构及签字注册会计师对发行人在招股意向书中引用...","武汉力源信息技术股份有限公司（股票代码：300184）在首次公开发行（IPO）时的具体数据如下：

- **本次发行股数**：1,670万股
- **占发行后总股本的比例**：25.04%

（注：发行后总股本为6,670万股，其中发行前股本5,000万股，新增发行1,670万股。）

这些数据是基于该公司2011年上市时的招股说明书。如果您指的是后续的增发或配股，请提供更具体的时间或事件，以便给出准确信息。","1","1","1","1","1","0","Tie","RAG 与 LLM 均回答正确；RAG 额外给出了招股书页码，证据可追溯性更强。"
"2","武汉力源信息技术股份有限公司本次募集资金拟投资哪些项目？","武汉力源信息技术股份有限公司本次募集资金拟投资的项目有仓储及物流中心、研发中心、及电子商务平台、扩充产品种类和数量、扩充产品种类和数量。","22","本次募集资金拟投资项目包括：仓储及物流中心、研发中心、电子商务平台。引用页码：144","144|345|344|349|346","143 本公司拟在该宗地处建设综合大楼，作为本公司新的办公场所。本次募集资 金投资建设的仓储及物流中心、研发中心、及电子商务平台均位于公司拟建的综 合大楼内。 截至目前，本公司已完成该土地使用的规划方案审批，正在进行施工图审批 和土地...,| 武汉力源信息技术股份有限公司 招股意向书 | | --- | | 二、保荐机构(主承销商)声明 本公司已对招股意向书进行了核查，确认不存在虚假记载、误导性陈述或重 | | 大遗漏，并对其真实性、准确性和完整性承担相应的法律责任。 ...,| 武汉力源信息技术股份有限公司 招股意向书 | | --- | | 全体高级管理人员签名： | | ___________ ____________ ___________ 赵马克 胡 戎 吴伟钢 | | ___________ _...,| 武汉力源信息技术股份有限公司 招股意向书 | | --- | | 六、验资机构声明 | | 本机构及签字注册会计师已阅读招股意向书，确认招股意向书与本机构出具 的验资报告无矛盾之处。本机构及签字注册会计师对发行人在招股意向书中引用...,| 武汉力源信息技术股份有限公司 招股意向书 | | --- | | 三、发行人律师声明 | | 本所及经办律师已阅读招股意向书，确认招股意向书与本所出具的法律意见 书和律师工作报告无矛盾之处。本所及经办律师对发行人在招股意向书中引用...","武汉力源信息技术股份有限公司（简称“力源信息”，股票代码：300184）最近一次募集资金（非公开发行股票）的投向，主要依据其披露的《向特定对象发行股票募集说明书》及相关公告。根据公开信息，本次（指2021年完成的向特定对象发行股票）募集资金拟投资的项目包括：

1. **支付收购武汉帕太电子科技有限公司24.48%股权的部分现金对价**
   该项目是本次募资的核心用途。力源信息通过收购武汉帕太的少数股权，进一步增强对核心子公司（帕太集团）的控制力，提升整体盈利能力。

2. **补充流动资金**
   部分募集资金用于补充公司日常运营所需的流动资金，优化财务结构，降低资产负债率，支持主营业务发展。

**补充说明：**
- 上述两个项目是力源信息最近一次（2021年）完成的大规模再融资的核心投向。
- 公司此前（如2016年）的重大资产重组及配套融资，曾用于收购武汉帕太100%股权等项目，但“本次”通常指最近一期募集资金行为。
- 具体金额、项目进展及调整情况，建议以公司最新公告（如《募集资金使用情况报告》）为准，因募投项目可能根据实际情况进行变更或延期。

如需查询更详细、最新的信息，可访问巨潮资讯网（www.cninfo.com.cn）搜索“力源信息”相关公告。","0","0","0","0","1","1","RAG","RAG 相对更接近招股书中的募投项目列表，但答案仍不够完整；LLM 混入后续年份再融资信息，偏离题目语境。"
"3","与武汉力源信息技术股份有限公司存在控制关系的关联方是谁， 持股比例和本公司关系是什么？","存在控制关系的关联方
关联方名称 持股比例 与本公司关系
赵马克 42.35% 公司控股股东","157","与武汉力源信息技术股份有限公司存在控制关系的关联方是赵马克，持股比例为42.35%，与本公司关系为控股股东。引用页码：157","157|11|169|165|158","二、关联方及关联交易 (一)关联方及关联关系 1、存在控制关系的关联方 关联方名称 持股比例 与本公司关系 赵马克 42.35% 公司控股股东 2、不存在控制关系的关联方 企业名称 与本公司关系 融冰投资 持有公司股份5%以上的股东 ...,10 博润投资 指 上海博润投资有限公司，为上海博润投资管理有限公司关 联方，与本公司无股权关系 宁波博润 指 宁波博润创业投资股份有限公司，本公司股东 上海博丰 指 上海博丰创业投资有限公司，本公司股东 发起人 指 赵马克、融冰投资...,| | 项目名称 | | | 关联方名称 | | | 2010年6月30日 | | | 2009年12月31日 | | | 2008年12月31日 | | | 2007年12月31日 | | | --- | --- | --- | -...,164 物移交香港力源服务的，力源贸易在海外供应商销售价格的基础上，加价0.5% 销售给发行人，上述定价政策得到了一贯执行。综上，我们认为在报告期内发行人与力源贸易的关联交易遵循了等价有偿公 平交易的原则，其交易价格是公允的。⑤武汉经...,注：上图中用虚线表示的相关企业为曾为关联方但目前已不存在关联关系的公司，其 中：盈硅电子与佰力电子已于2008 年对外转让；自2001 年起，力源科技停止经营活动，且 持续未参加工商年检，2005 年4 月29 日，武汉市工商局核准吊...","根据武汉力源信息技术股份有限公司（股票代码：300184，简称“力源信息”）公开披露的信息，截至其最新定期报告（如2024年年度报告或2025年第一季度报告），对其存在**控制关系**的关联方主要为公司的**控股股东、实际控制人**。

**核心关联方及关系：**

-   **关联方名称：** 赵马克（Mark Zhao）
-   **持股比例：** 截至最近报告期（例如2024年三季报或年报），赵马克先生直接持有公司股份比例约为 **22.33%**（具体比例会因公司回购、股权激励行权等事项略有变动，请以最新公告为准）。
-   **与本公司关系：** 赵马克先生是公司的**控股股东、实际控制人**，并担任公司董事长、总经理。他通过直接持股以及作为公司创始人，对公司的股东大会、董事会决议及日常经营决策具有实质性控制权。

**补充说明：**

1.  **其他关联方：** 除实际控制人外，存在控制关系的关联方还包括赵马克先生控制的**其他企业**（如部分未上市的投资平台或关联公司，具体需查阅年报中的“关联方及关联关系”章节），以及其**一致行动人**（如有，需以公告为准）。但通常而言，核心控制关系即指向赵马克本人。
2.  **数据时效性：** 上市公司股东持股比例会因增发、减持、回购注销等事项发生变动。**为了获取最准确、最新的持股比例和完整的关联方名单，建议您直接登录巨潮资讯网（www.cninfo.com.cn），搜索“力源信息”（300184），查阅其最近一期《年度报告》中的“股份变动及股东情况”和“关联方及关联交易”部分。**
","1","0","1","1","1","1","RAG","RAG 准确给出 42.35% 及控股股东关系；LLM 只有泛化表述，未落到招股书中的具体关联方。"
"4","与武汉力源信息技术股份有限公司不存在控制关系的关联方企业有哪些？","不存在控制关系的关联方
企业名称 与本公司关系
融冰投资 持有公司股份 5%以上的股东
武汉博润 持有公司股份 5%以上的股东
上海博润 持有公司股份 5%以上的股东
听音投资 持有公司股份 5%以上的股东
联众聚源 持有公司股份 5%以上的股东
力源贸易 同一实际控制人控制的企业
普芯达 实际控制人近亲属控制的公司 ","157","与武汉力源信息技术股份有限公司不存在控制关系的关联方企业包括：融冰投资、武汉博润、上海博润、听音投资、联众聚源、力源贸易、普芯达。
引用页码：157","157|11|165|169|158","二、关联方及关联交易 (一)关联方及关联关系 1、存在控制关系的关联方 关联方名称 持股比例 与本公司关系 赵马克 42.35% 公司控股股东 2、不存在控制关系的关联方 企业名称 与本公司关系 融冰投资 持有公司股份5%以上的股东 ...,10 博润投资 指 上海博润投资有限公司，为上海博润投资管理有限公司关 联方，与本公司无股权关系 宁波博润 指 宁波博润创业投资股份有限公司，本公司股东 上海博丰 指 上海博丰创业投资有限公司，本公司股东 发起人 指 赵马克、融冰投资...,164 物移交香港力源服务的，力源贸易在海外供应商销售价格的基础上，加价0.5% 销售给发行人，上述定价政策得到了一贯执行。综上，我们认为在报告期内发行人与力源贸易的关联交易遵循了等价有偿公 平交易的原则，其交易价格是公允的。⑤武汉经...,| | 项目名称 | | | 关联方名称 | | | 2010年6月30日 | | | 2009年12月31日 | | | 2008年12月31日 | | | 2007年12月31日 | | | --- | --- | --- | -...,注：上图中用虚线表示的相关企业为曾为关联方但目前已不存在关联关系的公司，其 中：盈硅电子与佰力电子已于2008 年对外转让；自2001 年起，力源科技停止经营活动，且 持续未参加工商年检，2005 年4 月29 日，武汉市工商局核准吊...","关于武汉力源信息技术股份有限公司（以下简称“力源信息”）的关联方企业，特别是**不存在控制关系**的关联方，需要依据该公司公开披露的年度报告、关联方交易公告等信息才能准确回答。由于我无法实时访问最新的企业数据库或内部文件，以下信息基于一般性会计准则和公开信息逻辑进行说明，具体名单请以力源信息官方发布的文件为准。

通常，**不存在控制关系但构成关联方**的企业主要包括以下几类：

1. **联营企业**（力源信息对其有重大影响，但未达到控制，通常持股20%-50%或通过协议施加重大影响）；
2. **合营企业**（由力源信息与其他方共同控制）；
3. **同一母公司控制下的其他子公司**（例如力源信息的母公司旗下的其他子公司，但力源信息本身不控制它们）；
4. **关键管理人员（董事、监事、高管）及其关系密切的家庭成员控制或施加重大影响的企业**；
5. **其他与力源信息存在特殊关系，但未达到控制的企业**（如通过协议、资金往来、人员兼任等形成关联但无控制权）。

**具体到力源信息**，根据其过往公开信息（如2023年年报），以下企业曾作为“不存在控制关系的关联方”被披露（请注意，名单可能随股权变动而更新，以下仅为示例，不代表当前最新情况）：

- **武汉芯源半导体有限公司**（曾为联营企业，力源信息持股比例较低，未形成控制）
- **武汉力源半导体有限公司**（可能为合营或联营，需核实最新持股比例）
- **某些通过关键管理人员关联的企业**（如公司董事、监事个人投资或任职的公司）

**建议您通过以下方式获取准确名单：**
1. 查阅力源信息在巨潮资讯网（www.cninfo.com.cn）发布的**最新年度报告**中的“关联方及关联交易”章节。
2. 关注公司发布的**关联交易公告**或**关于新增关联方的公告**。
3. 若您有具体年份或业务背景，可提供更详细的信息，我能协助分析常见关联方类型。

请注意，关联方关系可能因投资、减持、人事变动等动态变化，务必以官方披露为准。","1","0","1","1","1","0","RAG","RAG 列出了招股书中的非控制关系关联方企业；LLM 以原则性说明为主，未给出完整企业名单。"
"260","报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？","报告期内，公司来自军用领域的收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元。","4|129","报告期内，武汉兴图新科电子股份有限公司直接和间接向国防客户的销售额（即军用领域收入）分别为6,464.51万元、14,414.16万元、18,780.67万元和4,627.14万元。引用页码：4","130|4|52|157|22","鉴于发行人来源于军用领域的而收入占比较高，发行人业绩的发展与军队的 信息化建设进程趋于一致。2016 年军改，全军进行了领导管理体制、作战体制 等的大范围调整，导致2016 年军方客户的采购需求及订单下达、订单执行均受 到较大影响，来...,（二）行业及客户集中度较高的风险 报告期内，公司主要向国防客户提供视频指挥控制、视频预警控制等视音频 系统产品，直接和间接向国防客户的销售额合计分别为6,464.51 万元、14,414.16 万元、18,780.67 万元和4,62...,第五节 发行人基本情况 一、发行人的基本情况 公司名称：武汉兴图新科电子股份有限公司 英文名称：Wuhan Xingtu Xinke Electronics Co.,Ltd. 法定代表人：程家明 注册资本：5,520 万元 实收资本：...,低延时编解码技术等核心技术的研究，形成了大规模视音频综合服务平台，具备 了复杂网络下的可靠传输、低带宽下的更好图像、远程交互的更低延时、多网之 间的业务互备、异地容灾等关键能力。同时，公司针对性开发了特定应用环境下 的窄带高清和多源处...,第二节 概览 本概览仅对招股意向书全文做扼要提示。投资者作出投资决策前，应认真阅 读招股意向书全文。一、发行人及本次发行的中介机构基本情况 （一）发行人基本情况 中文名称 武汉兴图新科电子股份有限公司 有限公司成立日 期 2004 年...","根据武汉兴图新科电子股份有限公司（股票代码：688081）公开披露的财务报告，其收入主要来源于军用领域。以最近一期完整的年度报告（2023年年报）为例，报告期内（2023年1月1日至2023年12月31日），公司来自军用领域的收入为 **1.08亿元**（具体数字可能因四舍五入略有差异，精确数据请以公司发布的《2023年年度报告》为准）。

若您需要查询更早的报告期（如2022年、2021年等）或最新季度（如2024年一季度、半年度）的数据，建议直接查阅公司在上交所官网披露的对应定期报告。如果您有具体报告期需求，我可以进一步协助查找。","1","0","1","1","1","1","RAG","RAG 准确提取了报告期各期军用领域收入；LLM 混入上市后年份财报口径，时间范围不一致。"
"95","武汉兴图新科电子股份有限公司参与制定了哪个技术标准？","武汉兴图新科电子股份有限公司参与制定了全军第一个视频指挥系统技术标准——《某视频技术规范 1.0》。","182","武汉兴图新科电子股份有限公司参与制定了国防用户第一个视频指挥系统技术标准，即《某视频技术规范1.0》。引用页码：181。","358|193|181|182|155","武汉兴图新科电子股份有限公司 招股意向书 位按照相关规定对货物进 行检查验收 到货款后7 个工作日内发 货，甲方验收货物后支付 合同总价50%的进度款， 系统建设完成后试运行1 个月后完成全部剩余款项 支付 XT2016006 安徽四...,就现状而言，已经具备军队视频指挥控制系统建设项目集成能力的单位较多、竞 争激烈，如奥维通信股份有限公司（以下简称“奥维通信”）、兴唐通信科技有限 公司（以下简称“兴唐通信”）、北京雨辰视美科技有限公司（以下简称“雨辰视 美”）、启明星...,公司目前已经成为军队视频指挥控制领域的重要供应商，参与制定了国防用 户第一个视频指挥系统技术标准（即《某视频技术规范1.0》）。2014 年12 月， 某大型研究所牵头承担的“某情报、指挥、控制与通信网络一体化工程”（即相当 于美军的...,公司以图像处理与应用技术为起点，并不断创新发展，经过长期持续的研发 投入，公司具备较为雄厚的技术积淀和应用能力。公司目前已经掌握了以音视频 中间件技术为核心，以复杂环境网络适应技术、低延时编解码技术等为突破，在 军方特殊环境和应用的适...,等产品在技术上已经达到了全军较为先进的水平，并逐步列装到全军各主要领域， 军队市场占有率不断提高，形成了较好的品牌优势。具体表现在以下几个方面： 1、公司的研发实力较强、核心技术优势明显 公司目前已经成为军队视频指挥领域的重要供应商，...","武汉兴图新科电子股份有限公司参与制定了国家标准 **《GB/T 28181-2016 公共安全视频监控联网系统信息传输、交换、控制技术要求》**。该标准是中国公共安全视频监控领域的重要技术规范，主要用于规范视频监控系统的互联互通和资源共享。","1","0","1","1","1","1","RAG","RAG 命中了《某视频技术规范1.0》这一招股书表述；LLM 误答为其他公开视频监控标准。"
"33","报告期内， 武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？","报告期内，公司来自军用领域的收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元，占主营业务收入比重分别为 82.10%、97.31%、94.84%和 94.34%。 ","4|129","报告期内，武汉兴图新科电子股份有限公司来自军用领域（直接和间接向国防客户）的收入占主营业务收入的比重分别为82.10%、97.31%、94.84%和94.34%。
引用页码：4","4|130|131|36|40","（二）行业及客户集中度较高的风险 报告期内，公司主要向国防客户提供视频指挥控制、视频预警控制等视音频 系统产品，直接和间接向国防客户的销售额合计分别为6,464.51 万元、14,414.16 万元、18,780.67 万元和4,62...,鉴于发行人来源于军用领域的而收入占比较高，发行人业绩的发展与军队的 信息化建设进程趋于一致。2016 年军改，全军进行了领导管理体制、作战体制 等的大范围调整，导致2016 年军方客户的采购需求及订单下达、订单执行均受 到较大影响，来...,00% 兴图新科军品销售用户覆盖总部机关、多数军种和战区单位，其中，军种销 售收入占比较高，报告期各期占主营业务收入比重分别为62.45%、51.61%、 53.23%、77.12%。从细分角度看，报告期内各完整年度总部机关、单个军种...,二、经营风险 （一）行业及客户集中度较高的风险 报告期内，公司主要向国防客户提供视频指挥控制、视频预警控制等视音频 系统产品，直接和间接向国防客户的销售额合计分别为6,464.51 万元、14,414.16 万元、18,780.67 ...,间接向国防客户的销售额合计分别为6,464.51 万元、14,414.16 万元、18,780.67 万元和4,627.14 万元，占主营业务收入的比重分别为82.10%、97.31%、94.84% 和94.34%，如果因泄密等原因导...","根据武汉兴图新科电子股份有限公司（股票代码：688081）公开披露的财务报告，其主营业务收入**100%来自军用领域**。该公司专注于军队视频指挥、视频侦察等军工信息化产品的研发、生产和销售，客户均为军队、国防科研院所及相关军工集团，不存在民用领域的收入。因此，在报告期内（如2021-2023年及2024年上半年），军用领域收入占主营业务收入的比重始终为**100%**。","1","0","1","1","1","1","RAG","RAG 准确给出各期军用领域收入占比；LLM 错误概括为始终 100%，与招股书不符。"
"34","根据武汉兴图新科电子股份有限公司招股意向书， 电子信息行业的上游涉及哪些企业？","根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及以下企业：
电子元器件制造企业（与信息系统相关）、金属壳体制造企业（主要包括机箱、机柜等）。","152","根据招股意向书，电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、机柜等金属壳体制造企业。引用页码：152","541|152|52|153|367","声明 本人已认真阅读武汉兴图新科电子股份有限公司招股意向书的全部内容，确 认招股意向书不存在虚假记载、误导性陈述或重大遗漏，并对招股意向书真实性、 准确性、完整性承担相应的法律责任。 保荐机构总经理： 毕玉国 保荐机构董事长： 李 玮...,兴图新科已经取得 经营所需完备的准入资质。而获得上述资质需经过一套严格的审查程序。企业需 同时拥有多种相关资质条件才能进行武器科研生产活动，其他潜在的市场进入者 获得进入行业的全部资质条件面临较长的审批时间和巨大的难度。（四）行业竞争...,第五节 发行人基本情况 一、发行人的基本情况 公司名称：武汉兴图新科电子股份有限公司 英文名称：Wuhan Xingtu Xinke Electronics Co.,Ltd. 法定代表人：程家明 注册资本：5,520 万元 实收资本：...,上游行业企业供应各类基础设备和辅助材料，但普遍专注于单一类型产品的 研发、生产和销售，须经电子信息系统产品提供商或系统集成商综合各类产品用 途及特性进行系统设计和实施，最终形成完整的应用系统。上游行业的发展对本 行业具有促进作用。随着...,武汉兴图新科电子股份有限公司 招股意向书 服务已经客户验收，收入确认符合企业会计准则规定。 该类合同的回款情况良好，合同金额1.80 亿元，已回款1.39 亿元，未回款金额占比较低，主要为长期合作的总体单位A 和总体 单位D 欠款。","根据武汉兴图新科电子股份有限公司的招股意向书（通常会在“业务与技术”或“行业概况”章节中描述），其所属的电子信息行业（特别是公司所处的视频指挥、视频监控及系统集成领域）的上游行业主要包括以下几类：

1.  **电子元器件行业**：这是最基础的上游，包括各类**芯片**（如编解码芯片、AI芯片、FPGA、DSP、CPU等）、**电阻、电容、电感**等被动元件，以及**连接器、接插件**等。
2.  **集成电路与半导体行业**：专门提供核心处理单元和存储单元，如**处理器、存储器（DRAM、NAND Flash）、逻辑芯片**等。
3.  **光电与光学器件行业**：涉及**摄像头模组、光学镜头、红外探测器**、激光器、图像传感器（CMOS/CCD）等，这是视频采集的核心部件。
4.  **显示器件行业**：包括**LCD/LED显示屏、液晶面板**等，用于视频输出和指挥中心大屏显示。
5.  **印制电路板（PCB）行业**：提供承载电子元器件的电路板，是所有硬件设备的基础载体。
6.  **结构件与配套材料行业**：包括**机箱、外壳、散热器、线缆、电源模块**等，以及用于组装和防护的金属、塑料、橡胶等材料。
7.  **软件与算法行业**：虽然通常不被列为“上游行业”，但招股书会提到**操作系统、数据库、中间件、视频编解码算法、AI算法库、图形图像处理软件**等，这些是系统功能实现的关键技术来源。

**特别说明**：由于招股意向书的具体内容会随公司业务细节（如是否自研核心芯片、是否外购关键模组）而变化，建议您直接查阅该招股书的**“第五节 业务与技术”**或**“第四节 风险因素”**（关于原材料供应风险部分），以获取最准确、最完整的上下游行业列表。如果您需要我根据公开信息进行更精确的查找，可以告诉我您关注的版本或章节。","1","0","1","1","1","1","RAG","RAG 回答与招股书原文一致；LLM 做了扩展推断，但加入了招股书未明确列示的行业类别。"
