id,question,gold_answer,gold_pages,rag_answer,rag_pages,rag_evidence_preview,llm_answer,rag_correct,llm_correct,rag_page_hit,rag_evidence_hit,rag_faithful,llm_hallucination,winner,comment,rag_grounded,rag_retrieval_mode,rag_latency_ms,rag_citation_profiles,rag_citation_types,rag_citation_ids
5,武汉力源信息技术股份有限公司组织结构图中， 销售部有几个部门构成，其中大客户销售部有几个销售处构成？,根据参考内容，武汉力源信息技术股份有限公司销售部由4个部门构成：电话及网络销售部、渠道销售部、大客户销售部、国际贸易部。其中，大客户销售部由6个销售处构成：珠海销售处、深圳销售处、北京销售处、武汉销售处、广州销售处、成都销售处。,39,根据招股书中的组织结构图，销售部由电话及网络销售部、渠道销售部、大客户销售部和国际贸易部四个部门构成。大客户销售部下设珠海、深圳、北京、武汉、广州、成都六个销售处。 引用页码：39,94|39|309|113|38,"doc=招股说明书2 | profile=prospectus2 | id=chunk_00128 | page=94,doc=招股说明书2 | profile=prospectus2 | id=VISUAL_FINAL_PAGE_0039 | page=39,doc=招股说明书2 | profile=prospectus2 | id=VISUAL_FINAL_PAGE_0309 | page=309,doc=招股说明书2 | profile=prospectus2 | id=VISUAL_FINAL_PAGE_0113 | page=113,doc=招股说明书2 | profile=prospectus2 | id=chunk_00058 | page=38","根据武汉力源信息技术股份有限公司（P&S，股票代码：300184）公开的组织结构信息，其销售体系通常按业务模式和客户类型进行划分。

具体到您的问题：

1.  **销售部的构成**：销售部通常由多个部门构成，主要包括：
    -   **大客户销售部**（负责重点客户及大项目）
    -   **区域销售部**（按地理区域划分，如华东、华南、华北等）
    -   **行业销售部**（按行业划分，如汽车、工业、通信等）
    -   **电商销售部**（负责线上平台及中小客户）

2.  **大客户销售部的构成**：关于大客户销售部具体由几个销售处构成，**在公开的官方组织架构图或年报等文件中，通常不会细化到“销售处”这一级别的具体数量**，因为该层级属于内部管理细分，且可能随业务调整而变化。

    -   **行业惯例与推测**：大客户销售部一般会按**行业**或**关键客户**划分成若干销售处（或称之为“销售团队”、“事业部”）。例如，可能设有汽车电子销售处、工业控制销售处、通信设备销售处等。
    -   **结论**：由于公司未公开披露“大客户销售部”下具体设立了多少个“销售处”的精确数字，**无法给出一个固定的、官方的数字**。

**建议**：如果您需要获取最准确、最新的内部组织架构信息（包括具体的处室设置和数量），建议您通过以下方式：
-   查阅公司最新的**年度报告**（在“公司治理”或“业务概要”章节）。
-   关注公司官网的“关于我们”或“投资者关系”板块。
-   直接联系公司的**投资者关系部门**或**人力资源部门**进行咨询。

**总结回答：**
销售部主要由大客户销售部、区域销售部、行业销售部及电商销售部等构成。至于大客户销售部具体由几个销售处构成，**公开资料中未披露确切数字**，通常按行业或关键客户动态划分，无法提供固定数量。",1,0,1,1,1,1,RAG,RAG 成功利用组织结构图给出 4 个销售部门和 6 个销售处；LLM 则脱离招股书证据，转为泛化行业经验回答。,true,unified_quality_check[prospectus2],12917,prospectus2,,chunk_00128|VISUAL_FINAL_PAGE_0039|VISUAL_FINAL_PAGE_0309|VISUAL_FINAL_PAGE_0113|chunk_00058
6,武汉力源信息技术股份有限公司招股意向书中，从 2008 年中国 IC 市场应用结构与增长图中可以看出， 增长率最快的是哪个行业？ 负增长的是哪个行业？,增长率最快的行业是汽车领域，增长率为14.0%；负增长的行业是IC卡市场，增长率为-2.0%。,72,根据2008年中国IC市场应用结构与增长图，增长率最快的行业是汽车领域，增长率为14.0%；负增长的行业是IC卡市场，增长率为-2.0%。 引用页码：310,309|83|84|71|82,"doc=招股说明书2 | profile=prospectus2 | id=chunk_00364 | page=309,doc=招股说明书2 | profile=prospectus2 | id=VISUAL_FINAL_PAGE_0083 | page=83,doc=招股说明书2 | profile=prospectus2 | id=VISUAL_FINAL_PAGE_0084 | page=84,doc=招股说明书2 | profile=prospectus2 | id=VISUAL_FINAL_PAGE_0071 | page=71,doc=招股说明书2 | profile=prospectus2 | id=chunk_00112 | page=82","根据武汉力源信息技术股份有限公司招股意向书中引用的“2008年中国IC市场应用结构与增长图”，增长率最快的行业是**汽车电子**，而出现负增长的行业是**消费电子**。

（注：该数据基于2008年的市场分析，具体数值需以招股书原文为准。）",1,0,0,1,1,1,RAG,RAG 准确识别出图中的最快增长行业和负增长行业；LLM 把负增长行业误答为消费电子，且页码仍存在物理页偏移。,true,unified_quality_check[prospectus2],9786,prospectus2,,chunk_00364|VISUAL_FINAL_PAGE_0083|VISUAL_FINAL_PAGE_0084|VISUAL_FINAL_PAGE_0071|chunk_00112
1,武汉力源信息技术股份有限公司本次发行股数是多少， 占发行后总股本的比例是多少？,"发行股数及占发行后总股本比例:1,670 万股，占发行后总股本的比例为 25.04% ",22|24,"武汉力源信息技术股份有限公司本次发行股数为1,670万股，占发行后总股本的比例为25.04%。 引用页码：54、24",54|24|1,"doc=招股说明书2 | profile=prospectus2 | id=chunk_00076 | page=54,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p24_t1 | page=24,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p24_t2 | page=24,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p1_t1 | page=1,doc=招股说明书2 | profile=prospectus2 | id=VISUAL_FINAL_PAGE_0001 | page=1","武汉力源信息技术股份有限公司（股票代码：300184）在首次公开发行（IPO）时的具体数据如下：

- **本次发行股数**：1,670万股
- **占发行后总股本的比例**：25.04%

（注：发行后总股本为6,670万股，其中发行前股本5,000万股，新增发行1,670万股。）

这些数据是基于该公司2011年上市时的招股说明书。如果您指的是后续的增发或配股，请提供更具体的时间或事件，以便给出准确信息。",1,1,1,1,1,0,Tie,RAG 与 LLM 均回答正确；RAG 额外给出了招股书页码，证据可追溯性更强。,true,unified_quality_check[prospectus2],9586,prospectus2,,chunk_00076|TABLE_FINAL_p24_t1|TABLE_FINAL_p24_t2|TABLE_FINAL_p1_t1|VISUAL_FINAL_PAGE_0001
2,武汉力源信息技术股份有限公司本次募集资金拟投资哪些项目？,武汉力源信息技术股份有限公司本次募集资金拟投资的项目有仓储及物流中心、研发中心、及电子商务平台、扩充产品种类和数量、扩充产品种类和数量。,22,根据招股书证据，武汉力源信息技术股份有限公司本次募集资金拟投资以下项目：仓储及物流中心、研发中心、电子商务平台、扩充产品种类和数量，以及其他与主营业务相关的营运资金。 引用页码：22,22|54|55|1|21,"doc=招股说明书2 | profile=prospectus2 | id=chunk_00037 | page=22,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p54_t1 | page=54,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p55_t1 | page=55,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p1_t1 | page=1,doc=招股说明书2 | profile=prospectus2 | id=chunk_00036 | page=21","武汉力源信息技术股份有限公司（简称“力源信息”，股票代码：300184）最近一次募集资金（非公开发行股票）的投向，主要依据其披露的《向特定对象发行股票募集说明书》及相关公告。根据公开信息，本次（指2021年完成的向特定对象发行股票）募集资金拟投资的项目包括：

1. **支付收购武汉帕太电子科技有限公司24.48%股权的部分现金对价**
   该项目是本次募资的核心用途。力源信息通过收购武汉帕太的少数股权，进一步增强对核心子公司（帕太集团）的控制力，提升整体盈利能力。

2. **补充流动资金**
   部分募集资金用于补充公司日常运营所需的流动资金，优化财务结构，降低资产负债率，支持主营业务发展。

**补充说明：**
- 上述两个项目是力源信息最近一次（2021年）完成的大规模再融资的核心投向。
- 公司此前（如2016年）的重大资产重组及配套融资，曾用于收购武汉帕太100%股权等项目，但“本次”通常指最近一期募集资金行为。
- 具体金额、项目进展及调整情况，建议以公司最新公告（如《募集资金使用情况报告》）为准，因募投项目可能根据实际情况进行变更或延期。

如需查询更详细、最新的信息，可访问巨潮资讯网（www.cninfo.com.cn）搜索“力源信息”相关公告。",0,0,0,0,1,1,RAG,RAG 相对更接近招股书中的募投项目列表，但答案仍不够完整；LLM 混入后续年份再融资信息，偏离题目语境。,true,unified_quality_check[prospectus2],12144,prospectus2,,chunk_00037|TABLE_FINAL_p54_t1|TABLE_FINAL_p55_t1|TABLE_FINAL_p1_t1|chunk_00036
3,与武汉力源信息技术股份有限公司存在控制关系的关联方是谁， 持股比例和本公司关系是什么？,"存在控制关系的关联方
关联方名称 持股比例 与本公司关系
赵马克 42.35% 公司控股股东",157,与武汉力源信息技术股份有限公司存在控制关系的关联方是赵马克，其持股比例为42.35%，与本公司关系为控股股东。 引用页码：157、54,157|54|55|172,"doc=招股说明书2 | profile=prospectus2 | id=chunk_00199 | page=157,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p54_t1 | page=54,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p54_t2 | page=54,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p55_t1 | page=55,doc=招股说明书2 | profile=prospectus2 | id=chunk_00218 | page=172","根据武汉力源信息技术股份有限公司（股票代码：300184，简称“力源信息”）公开披露的信息，截至其最新定期报告（如2024年年度报告或2025年第一季度报告），对其存在**控制关系**的关联方主要为公司的**控股股东、实际控制人**。

**核心关联方及关系：**

-   **关联方名称：** 赵马克（Mark Zhao）
-   **持股比例：** 截至最近报告期（例如2024年三季报或年报），赵马克先生直接持有公司股份比例约为 **22.33%**（具体比例会因公司回购、股权激励行权等事项略有变动，请以最新公告为准）。
-   **与本公司关系：** 赵马克先生是公司的**控股股东、实际控制人**，并担任公司董事长、总经理。他通过直接持股以及作为公司创始人，对公司的股东大会、董事会决议及日常经营决策具有实质性控制权。

**补充说明：**

1.  **其他关联方：** 除实际控制人外，存在控制关系的关联方还包括赵马克先生控制的**其他企业**（如部分未上市的投资平台或关联公司，具体需查阅年报中的“关联方及关联关系”章节），以及其**一致行动人**（如有，需以公告为准）。但通常而言，核心控制关系即指向赵马克本人。
2.  **数据时效性：** 上市公司股东持股比例会因增发、减持、回购注销等事项发生变动。**为了获取最准确、最新的持股比例和完整的关联方名单，建议您直接登录巨潮资讯网（www.cninfo.com.cn），搜索“力源信息”（300184），查阅其最近一期《年度报告》中的“股份变动及股东情况”和“关联方及关联交易”部分。**
",1,0,1,1,1,1,RAG,RAG 准确给出 42.35% 及控股股东关系；LLM 只有泛化表述，未落到招股书中的具体关联方。,true,unified_quality_check[prospectus2],9831,prospectus2,,chunk_00199|TABLE_FINAL_p54_t1|TABLE_FINAL_p54_t2|TABLE_FINAL_p55_t1|chunk_00218
4,与武汉力源信息技术股份有限公司不存在控制关系的关联方企业有哪些？,"不存在控制关系的关联方
企业名称 与本公司关系
融冰投资 持有公司股份 5%以上的股东
武汉博润 持有公司股份 5%以上的股东
上海博润 持有公司股份 5%以上的股东
听音投资 持有公司股份 5%以上的股东
联众聚源 持有公司股份 5%以上的股东
力源贸易 同一实际控制人控制的企业
普芯达 实际控制人近亲属控制的公司 ",157,根据招股书证据，与武汉力源信息技术股份有限公司不存在控制关系的关联方企业包括：融冰投资、武汉博润、上海博润、听音投资、联众聚源、力源贸易、普芯达。 引用页码：157,157|179|180|172,"doc=招股说明书2 | profile=prospectus2 | id=chunk_00199 | page=157,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p179_t4 | page=179,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p180_t1 | page=180,doc=招股说明书2 | profile=prospectus2 | id=TABLE_FINAL_p180_t2 | page=180,doc=招股说明书2 | profile=prospectus2 | id=chunk_00218 | page=172","关于武汉力源信息技术股份有限公司（以下简称“力源信息”）的关联方企业，特别是**不存在控制关系**的关联方，需要依据该公司公开披露的年度报告、关联方交易公告等信息才能准确回答。由于我无法实时访问最新的企业数据库或内部文件，以下信息基于一般性会计准则和公开信息逻辑进行说明，具体名单请以力源信息官方发布的文件为准。

通常，**不存在控制关系但构成关联方**的企业主要包括以下几类：

1. **联营企业**（力源信息对其有重大影响，但未达到控制，通常持股20%-50%或通过协议施加重大影响）；
2. **合营企业**（由力源信息与其他方共同控制）；
3. **同一母公司控制下的其他子公司**（例如力源信息的母公司旗下的其他子公司，但力源信息本身不控制它们）；
4. **关键管理人员（董事、监事、高管）及其关系密切的家庭成员控制或施加重大影响的企业**；
5. **其他与力源信息存在特殊关系，但未达到控制的企业**（如通过协议、资金往来、人员兼任等形成关联但无控制权）。

**具体到力源信息**，根据其过往公开信息（如2023年年报），以下企业曾作为“不存在控制关系的关联方”被披露（请注意，名单可能随股权变动而更新，以下仅为示例，不代表当前最新情况）：

- **武汉芯源半导体有限公司**（曾为联营企业，力源信息持股比例较低，未形成控制）
- **武汉力源半导体有限公司**（可能为合营或联营，需核实最新持股比例）
- **某些通过关键管理人员关联的企业**（如公司董事、监事个人投资或任职的公司）

**建议您通过以下方式获取准确名单：**
1. 查阅力源信息在巨潮资讯网（www.cninfo.com.cn）发布的**最新年度报告**中的“关联方及关联交易”章节。
2. 关注公司发布的**关联交易公告**或**关于新增关联方的公告**。
3. 若您有具体年份或业务背景，可提供更详细的信息，我能协助分析常见关联方类型。

请注意，关联方关系可能因投资、减持、人事变动等动态变化，务必以官方披露为准。",1,0,1,1,1,0,RAG,RAG 列出了招股书中的非控制关系关联方企业；LLM 以原则性说明为主，未给出完整企业名单。,true,unified_quality_check[prospectus2],12176,prospectus2,,chunk_00199|TABLE_FINAL_p179_t4|TABLE_FINAL_p180_t1|TABLE_FINAL_p180_t2|chunk_00218
260,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？,"报告期内，公司来自军用领域的收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元。",4|129,"报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别为：2016年度6,464.51万元，2017年度14,414.16万元，2018年度18,780.67万元，2019年1-6月4,627.15万元。 引用页码：130、343",130|343|210|211|342,"doc=招股说明书1 | profile=prospectus1 | id=chunk_00164 | page=130,doc=招股说明书1 | profile=prospectus1 | id=TABLE_FINAL_p343_t1 | page=343,doc=招股说明书1 | profile=prospectus1 | id=TABLE_FINAL_TABLE_0032 | page=210,doc=招股说明书1 | profile=prospectus1 | id=TABLE_FINAL_p211_t2 | page=211,doc=招股说明书1 | profile=prospectus1 | id=chunk_00390 | page=342","根据武汉兴图新科电子股份有限公司（股票代码：688081）公开披露的财务报告，其收入主要来源于军用领域。以最近一期完整的年度报告（2023年年报）为例，报告期内（2023年1月1日至2023年12月31日），公司来自军用领域的收入为 **1.08亿元**（具体数字可能因四舍五入略有差异，精确数据请以公司发布的《2023年年度报告》为准）。

若您需要查询更早的报告期（如2022年、2021年等）或最新季度（如2024年一季度、半年度）的数据，建议直接查阅公司在上交所官网披露的对应定期报告。如果您有具体报告期需求，我可以进一步协助查找。",1,0,1,1,1,1,RAG,RAG 准确提取了报告期各期军用领域收入；LLM 混入上市后年份财报口径，时间范围不一致。,true,unified_quality_check[prospectus1],19134,prospectus1,,chunk_00164|TABLE_FINAL_p343_t1|TABLE_FINAL_TABLE_0032|TABLE_FINAL_p211_t2|chunk_00390
95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,武汉兴图新科电子股份有限公司参与制定了全军第一个视频指挥系统技术标准——《某视频技术规范 1.0》。,182,武汉兴图新科电子股份有限公司参与制定了国防用户第一个视频指挥系统技术标准，即《某视频技术规范1.0》。 引用页码：180、182,180|182|186|222|359,"doc=招股说明书1 | profile=prospectus1 | id=chunk_00228 | page=180,doc=招股说明书1 | profile=prospectus1 | id=chunk_00230 | page=182,doc=招股说明书1 | profile=prospectus1 | id=chunk_00235 | page=186,doc=招股说明书1 | profile=prospectus1 | id=chunk_00257 | page=222,doc=招股说明书1 | profile=prospectus1 | id=chunk_00393 | page=359",武汉兴图新科电子股份有限公司参与制定了国家标准 **《GB/T 28181-2016 公共安全视频监控联网系统信息传输、交换、控制技术要求》**。该标准是中国公共安全视频监控领域的重要技术规范，主要用于规范视频监控系统的互联互通和资源共享。,1,0,1,1,1,1,RAG,RAG 命中了《某视频技术规范1.0》这一招股书表述；LLM 误答为其他公开视频监控标准。,true,unified_quality_check[prospectus1],23467,prospectus1,,chunk_00228|chunk_00230|chunk_00235|chunk_00257|chunk_00393
33,报告期内， 武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,"报告期内，公司来自军用领域的收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元，占主营业务收入比重分别为 82.10%、97.31%、94.84%和 94.34%。 ",4|129,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别为：2016年度82.10%，2017年度97.31%，2018年度94.84%，2019年1-6月94.34%。 引用页码：130、343,130|186|187|343,"doc=招股说明书1 | profile=prospectus1 | id=chunk_00164 | page=130,doc=招股说明书1 | profile=prospectus1 | id=TABLE_FINAL_p186_t2 | page=186,doc=招股说明书1 | profile=prospectus1 | id=TABLE_FINAL_p187_t1 | page=187,doc=招股说明书1 | profile=prospectus1 | id=TABLE_FINAL_p343_t1 | page=343,doc=招股说明书1 | profile=prospectus1 | id=chunk_00235 | page=186",根据武汉兴图新科电子股份有限公司（股票代码：688081）公开披露的财务报告，其主营业务收入**100%来自军用领域**。该公司专注于军队视频指挥、视频侦察等军工信息化产品的研发、生产和销售，客户均为军队、国防科研院所及相关军工集团，不存在民用领域的收入。因此，在报告期内（如2021-2023年及2024年上半年），军用领域收入占主营业务收入的比重始终为**100%**。,1,0,1,1,1,1,RAG,RAG 准确给出各期军用领域收入占比；LLM 错误概括为始终 100%，与招股书不符。,true,unified_quality_check[prospectus1],33011,prospectus1,,chunk_00164|TABLE_FINAL_p186_t2|TABLE_FINAL_p187_t1|TABLE_FINAL_p343_t1|chunk_00235
34,根据武汉兴图新科电子股份有限公司招股意向书， 电子信息行业的上游涉及哪些企业？,"根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及以下企业：
电子元器件制造企业（与信息系统相关）、金属壳体制造企业（主要包括机箱、机柜等）。",152,根据招股意向书，电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、机柜等金属壳体制造企业。 引用页码：152、153,152|58|59|540,"doc=招股说明书1 | profile=prospectus1 | id=chunk_00188 | page=152,doc=招股说明书1 | profile=prospectus1 | id=TABLE_FINAL_p58_t1 | page=58,doc=招股说明书1 | profile=prospectus1 | id=TABLE_FINAL_TABLE_0007 | page=59,doc=招股说明书1 | profile=prospectus1 | id=chunk_00189 | page=152,doc=招股说明书1 | profile=prospectus1 | id=VISUAL_FINAL_PAGE_0540 | page=540","根据武汉兴图新科电子股份有限公司的招股意向书（通常会在“业务与技术”或“行业概况”章节中描述），其所属的电子信息行业（特别是公司所处的视频指挥、视频监控及系统集成领域）的上游行业主要包括以下几类：

1.  **电子元器件行业**：这是最基础的上游，包括各类**芯片**（如编解码芯片、AI芯片、FPGA、DSP、CPU等）、**电阻、电容、电感**等被动元件，以及**连接器、接插件**等。
2.  **集成电路与半导体行业**：专门提供核心处理单元和存储单元，如**处理器、存储器（DRAM、NAND Flash）、逻辑芯片**等。
3.  **光电与光学器件行业**：涉及**摄像头模组、光学镜头、红外探测器**、激光器、图像传感器（CMOS/CCD）等，这是视频采集的核心部件。
4.  **显示器件行业**：包括**LCD/LED显示屏、液晶面板**等，用于视频输出和指挥中心大屏显示。
5.  **印制电路板（PCB）行业**：提供承载电子元器件的电路板，是所有硬件设备的基础载体。
6.  **结构件与配套材料行业**：包括**机箱、外壳、散热器、线缆、电源模块**等，以及用于组装和防护的金属、塑料、橡胶等材料。
7.  **软件与算法行业**：虽然通常不被列为“上游行业”，但招股书会提到**操作系统、数据库、中间件、视频编解码算法、AI算法库、图形图像处理软件**等，这些是系统功能实现的关键技术来源。

**特别说明**：由于招股意向书的具体内容会随公司业务细节（如是否自研核心芯片、是否外购关键模组）而变化，建议您直接查阅该招股书的**“第五节 业务与技术”**或**“第四节 风险因素”**（关于原材料供应风险部分），以获取最准确、最完整的上下游行业列表。如果您需要我根据公开信息进行更精确的查找，可以告诉我您关注的版本或章节。",1,0,1,1,1,1,RAG,RAG 回答与招股书原文一致；LLM 做了扩展推断，但加入了招股书未明确列示的行业类别。,true,unified_quality_check[prospectus1],9613,prospectus1,,chunk_00188|TABLE_FINAL_p58_t1|TABLE_FINAL_TABLE_0007|chunk_00189|VISUAL_FINAL_PAGE_0540
