id,question,answer_type,gold_answer,gold_pages,gold_evidence,gold_keywords,notes
260,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？,amount,"报告期内，公司来自军用领域的收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元。",128,"（1）行业和客户集中度高
①行业集中度高的影响
发行人产品主要应用于军队的信息化建设，报告期内，公司来自军用领域的
收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元，占
主营业务收入比重分别为 82.10%、97.31%、94.84%和 94.34%。 ",军用领域|收入,?????????????????
95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,entity,武汉兴图新科电子股份有限公司参与制定了全军第一个视频指挥系统技术标准——《某视频技术规范 1.0》。,181,"公司目前已经成为军队视频指挥领域的重要供应商，参与制定了全军第一个
视频指挥系统技术标准（即《某视频技术规范 1.0》）。而且，2014 年 12 月，某
大型研究所牵头承担的“某情报、指挥、控制与通信网络一体化工程”（即相当于
美军的 C4ISR 系统）荣获国家科技进步一等奖。该工程参与建设单位包括项目
主管部门、总体单位、国有科研机构等，根据总体单位、军方用户出具的证明文
件和承研合同，民营企业兴图新科是该工程网络化视频指挥系统的唯一参与者，
但未能列入获奖名单。
",技术标准,????????????????????? 1.0?
33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,ratio,"报告期内，公司来自军用领域的收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元，占主营业务收入比重分别为 82.10%、97.31%、94.84%和 94.34%。 ",128,"（1）行业和客户集中度高
①行业集中度高的影响
发行人产品主要应用于军队的信息化建设，报告期内，公司来自军用领域的
收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元，占
主营业务收入比重分别为 82.10%、97.31%、94.84%和 94.34%。 ",军用领域|收入占比,?????????????
34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,list,"根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及以下企业：
电子元器件制造企业（与信息系统相关）、金属壳体制造企业（主要包括机箱、机柜等）。",151,"电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、
机柜等金属壳体制造企业，竞争充分，采购便利。下游行业为各类终端用户，覆
盖范围广泛，主要包括军队、政府机关、能源等行业企业。此外，大型的电子信
息系统组成较为复杂，从而需要集成商作为总体集成单位统一协调部署实施。
",电子信息|上游,???????????????????????????
957,武汉兴图新科电子股份有限公司在哪个领域已经成为重要供应商？,entity,兴图新科已经成为国防军队视频指挥领域的重要供应商。,153,"兴图新科目前已经成为国防军队视频指挥领域的重要供应商，提供的视频指
挥控制类产品是国防指挥信息系统（相当于美军的C4ISR系统）中的“指挥控制”
子系统、子模块，起到指挥、控制的重要作用。",重要供应商,????????????????????
793,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括哪些行业？,list,"根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括：
军队、政府机关、能源等行业企业。",151,"电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、
机柜等金属壳体制造企业，竞争充分，采购便利。下游行业为各类终端用户，覆
盖范围广泛，主要包括军队、政府机关、能源等行业企业。此外，大型的电子信
息系统组成较为复杂，从而需要集成商作为总体集成单位统一协调部署实施。 ",电子信息|下游,???????????????????
795,武汉兴图新科电子股份有限公司参与的哪个工程荣获了国家科技进步一等奖？,entity,"武汉兴图新科电子股份有限公司参与的""某情报、指挥、控制与通信网络一体化工程""（相当于美军的 C4ISR 系统）荣获了国家科技进步一等奖。",95|181,"公司目前已经成为军队视频指挥领域的重要供应商，参与制定了全军第一个
视频指挥系统技术标准（即《某视频技术规范 1.0》）。而且，2014 年 12 月，某
大型研究所牵头承担的“某情报、指挥、控制与通信网络一体化工程”（即相当于
美军的 C4ISR 系统）荣获国家科技进步一等奖。该工程参与建设单位包括项目
主管部门、总体单位、国有科研机构等，根据总体单位、军方用户出具的证明文
件和承研合同，民营企业兴图新科是该工程网络化视频指挥系统的唯一参与者，
但未能列入获奖名单。
",国家科技进步一等奖,?????????????
543,武汉兴图新科电子股份有限公司注册资本是多少？,amount,"注册资本是5,520 万元。",51,"一、发行人的基本情况
公司名称：武汉兴图新科电子股份有限公司
英文名称：Wuhan Xingtu Xinke Electronics Co.,Ltd.
法定代表人：程家明
注册资本：5,520 万元
",注册资本,????????????
531,武汉兴图新科电子股份有限公司法定代表人是谁？,entity,公司法定代表人是程家明。,21,"（一）发行人基本情况
中文名称 武汉兴图新科电子股份有限公司
有限公司成立日
期
2004 年 6 月 17 日
英文名称
Wuhan Xingtu Xinke Electronics
Co.,Ltd.
股份公司成立日
期
2011 年 1 月 26 日
注册资本 5,520.00 万元 法定代表人 程家明
",法定代表人,?????????
207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,amount,"武汉兴图新科电子股份有限公司计划使用本次发行募集资金中的15,000.00万元用于补充流动资金。",478,"序号 项目名称 总投资 拟投入募集资金 建设期
1 基于云联邦架构的军用视频指
挥平台升级及产业化项目
20,658.33 20,658.33 24 个月
2 研发中心建设项目 4,926.50 4,926.50 24 个月
3 补充流动资金 15,000.00 15,000.00 -
合计 40,584.83 40,584.83 - ",募集资金|补充流动资金,"??????? 15,000.00 ??????????"
