"id","question","answer_type","gold_answer","gold_pages","gold_evidence","gold_keywords","notes"
"5","武汉力源信息技术股份有限公司组织结构图中， 销售部有几个部门构成，其中大客户销售部有几个销售处构成？",
6,"武汉力源信息技术股份有限公司招股意向书中，从 2008 年中国 IC 市场应用结构与增长图中可以看出， 增长率最快的是哪个行业？ 负增长的是哪个行业？",
"1","武汉力源信息技术股份有限公司本次发行股数是多少， 占发行后总股本的比例是多少？","amount","武汉力源信息技术股份有限公司本次发行股数是1,670万股，占发行后总股本的比例是25.04%。","22|24","发行股数及占发行后总股本比例:1,670 万股，占发行后总股本的比例为 25.04% ","发行股数|占比","金额题，重点核对“1,670 万股”和“25.04%”两个关键数值是否同时答对；页码可接受 22/24 任一命中。"
"2",武汉力源信息技术股份有限公司本次募集资金拟投资哪些项目？,"list","武汉力源信息技术股份有限公司本次募集资金拟投资的项目有仓储及物流中心、研发中心、及电子商务平台、扩充产品种类和数量、扩充产品种类和数量。","22","本次募集资金拟投资以下项目：
序号 项目名称 计划总投资(万元)
1 仓储及物流中心 3,393.40
2 研发中心 1,526.38
3 电子商务平台 2,492.78
4 扩充产品种类和数量 9,000.00
5 其他与主营业务相关的营运资金 [ ◆ ] ","募集资金|投资|项目","项目列表题，以是否覆盖募投项目名称为主；允许表述顺序略有差异，但不应混入其他年份或其他融资项目。"
"3","与武汉力源信息技术股份有限公司存在控制关系的关联方是谁， 持股比例和本公司关系是什么？","entity","与武汉力源信息技术股份有限公司存在控制关系的关联方是赵马克，持股比例42.35%，是公司控股股东。","157","存在控制关系的关联方
关联方名称 持股比例 与本公司关系
赵马克 42.35% 公司控股股东","控制关系|持股比例","关联方识别题，需同时回答姓名、42.35% 持股比例及“控股股东”关系，三项缺一不可。"
"4","与武汉力源信息技术股份有限公司不存在控制关系的关联方企业有哪些？","list","与武汉力源信息技术股份有限公司不存在控制关系的关联方企业有融冰投资、武汉博润、上海博润、听音投资、联众聚源、力源贸易、普芯达。","157","不存在控制关系的关联方
企业名称 与本公司关系
融冰投资 持有公司股份 5%以上的股东
武汉博润 持有公司股份 5%以上的股东
上海博润 持有公司股份 5%以上的股东
听音投资 持有公司股份 5%以上的股东
联众聚源 持有公司股份 5%以上的股东
力源贸易 同一实际控制人控制的企业
普芯达 实际控制人近亲属控制的公司","非控制关系|企业","企业列表题，以招股书列示名单为准；允许少量别名差异，但不能把控制关系关联方混入答案。"
"260","报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？","amount","报告期内，公司来自军用领域的收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元。","128","（1）行业和客户集中度高
①行业集中度高的影响
发行人产品主要应用于军队的信息化建设，报告期内，公司来自军用领域的
收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元，占
主营业务收入比重分别为 82.10%、97.31%、94.84%和 94.34%。 ","军用领域|收入","金额题，优先看答案数值与证据片段是否一致；gold_page 可能偏移，不作为主判定。"
"95","武汉兴图新科电子股份有限公司参与制定了哪个技术标准？","entity","武汉兴图新科电子股份有限公司参与制定了全军第一个视频指挥系统技术标准——《某视频技术规范 1.0》。","181","公司目前已经成为军队视频指挥领域的重要供应商，参与制定了全军第一个
视频指挥系统技术标准（即《某视频技术规范 1.0》）。而且，2014 年 12 月，某
大型研究所牵头承担的“某情报、指挥、控制与通信网络一体化工程”（即相当于
美军的 C4ISR 系统）荣获国家科技进步一等奖。该工程参与建设单位包括项目
主管部门、总体单位、国有科研机构等，根据总体单位、军方用户出具的证明文
件和承研合同，民营企业兴图新科是该工程网络化视频指挥系统的唯一参与者，
但未能列入获奖名单。
","技术标准","实体题，标准名称以《某视频技术规范 1.0》为准；页码仅作辅助参考。"
"33","报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？","ratio","报告期内，公司来自军用领域的收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元，占主营业务收入比重分别为 82.10%、97.31%、94.84%和 94.34%。 ","128","（1）行业和客户集中度高
①行业集中度高的影响
发行人产品主要应用于军队的信息化建设，报告期内，公司来自军用领域的
收入分别为 6,464.51 万元、14,414.16 万元、18,780.67 万元和 4,627.14 万元，占
主营业务收入比重分别为 82.10%、97.31%、94.84%和 94.34%。 ","军用领域|收入占比","比例题，优先核对四个百分比是否完整准确；页码命中不是主要判定依据。"
"34","根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些行业？","list","根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及以下企业：
电子元器件制造企业（与信息系统相关）、金属壳体制造企业（主要包括机箱、机柜等）。","151","电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、
机柜等金属壳体制造企业，竞争充分，采购便利。下游行业为各类终端用户，覆
盖范围广泛，主要包括军队、政府机关、能源等行业企业。此外，大型的电子信
息系统组成较为复杂，从而需要集成商作为总体集成单位统一协调部署实施。
","电子信息|上游","行业列表题，以上游行业描述是否准确完整为主，允许物理页与逻辑页存在偏移。"
